ID,LONISID,RID
42798,17379,1265
42800,17381,1217
42802,17384,619
42804,17387,1070
42806,17397,538
42808,17405,1078
42810,17407,741
42812,17409,1215
42814,17410,1218
42816,17411,602
42818,17417,711
42820,17418,1417
42822,17420,579
42824,17422,579
42826,17430,1074
42828,17443,669
42830,17446,647
42832,17448,1187
42834,17449,686
42836,17454,1295
42838,17455,553
42840,17457,702
42842,17459,559
42844,17461,559
42846,17463,1070
42848,17465,1155
42850,17466,386
42852,17485,685
42854,17491,1419
42856,17496,1423
42858,17515,677
42860,17517,677
42862,17560,783
42864,17561,1309
42866,17565,1182
42868,17586,1243
42870,17588,752
42872,17590,748
42874,17593,626
42876,17599,739
42878,17600,1130
42880,17604,1414
42882,17607,1117
42884,17613,698
42886,17615,746
42888,17620,1240
42890,17622,750
42892,17626,1211
42894,17634,1119
42896,17637,1309
42898,17639,800
42900,17641,668
42902,17646,1279
42904,17648,1279
42906,17652,231
42908,17655,1427
42910,17657,1072
42912,17660,1407
42914,17662,1148
42916,17664,671
42918,17666,1225
42920,17669,1225
42922,17674,546
42924,17676,909
42926,17678,1314
42928,17680,1330
42930,17687,502
42932,17688,1315
42934,17691,1075
42936,17694,759
42938,17697,1268
42940,17699,1268
42942,17700,5
42944,17702,638
42946,17708,547
42948,17709,1387
42950,17711,682
42952,17716,1293
42954,17717,692
42956,17719,769
42958,17720,1387
42960,17725,1299
42962,17726,835
42964,17727,657
49366,25354,232
42968,17737,575
42970,17738,792
42972,17742,722
42974,17747,1182
42976,17749,792
42978,17750,1421
42980,17753,1271
42982,17757,1282
42984,17760,1293
42986,17763,420
42988,17765,824
42990,17769,718
42992,17770,835
42994,17772,695
42996,17776,778
42998,17777,1311
43000,17780,1351
43002,17782,814
43004,17784,1408
43006,17786,1292
43008,17788,1292
43010,17795,633
43012,17800,1260
43014,17803,867
43016,17804,830
49348,17734,1330
43020,17807,731
43022,17809,422
43024,17811,779
43026,17813,625
43028,17816,729
43030,17818,729
43032,17819,818
43034,17821,727
43036,17825,638
43038,17826,1227
43040,17829,1227
43042,17831,916
43044,17833,916
43046,17835,1246
43048,17837,803
43050,17841,891
49346,24640,1293
43054,17850,784
43056,17855,498
43058,17858,727
43060,17861,1380
43062,17864,886
43064,17866,717
43066,17868,1326
43068,17869,1224
43070,17871,771
43072,17875,754
43074,17877,760
43076,17880,767
43078,17882,920
43082,17885,920
43084,17889,813
43086,17895,886
43088,17904,1321
43090,17905,753
43092,17915,814
43094,17921,861
43096,17924,55
43098,17942,906
43100,17944,1321
43102,17947,887
43104,17948,1300
43106,17961,889
43108,17973,771
43110,17979,850
43112,17981,845
43114,17986,923
43116,17999,922
43118,18010,922
43120,18022,839
43122,18025,505
43124,18050,681
43126,18059,834
43128,18061,866
43130,18070,782
43132,18072,1326
43134,18073,921
43136,18095,16
43138,18102,1393
43140,18106,926
43142,18108,926
43144,18110,932
43146,18117,76
43148,18134,941
43150,18137,934
43152,18139,433
